FedRAMP Tailored LI-SAAS Baseline - Details,,,,
No,Control ID,Control Name,Tailoring Action,Additional Tailoring Comments
1,AC-1,Access Control Policy and Procedures,Attest,
2,AC-2,Account Management,Document and Assess,
3,AC-3,Access Enforcement,Document and Assess,
4,AC-7,Unsuccessful Login Attempts,"NSO, Attest",NSO for non-privileged users. Attestation for privileged users related to multi-factor identification and authentication.
5,AC-8,System Use Notification,FED,FED - This is related to agency data and agency policy solution.
6,AC-14,Permitted Actions without Identification or Authentication,FED,FED - This is related to agency data and agency policy solution.
7,AC-17,Remote Access,Document and Assess,
8,AC-18,Wireless Access,NSO,"NSO - All access to Cloud SaaS are via web services and/or API.  The device accessed from or whether via wired or wireless connection is out of scope.  Regardless of device accessed from, must utilize approved remote access methods (AC-17), secure communication with strong encryption (SC-13), key management (SC-12), and multi-factor authentication for privileged access (IA-2[1])."
9,AC-19,Access Control for Mobile Devices,NSO,"NSO - All access to Cloud SaaS are via web service and/or API.  The device accessed from is out of the scope.  Regardless of device accessed from, must utilize approved remote access methods (AC-17), secure communication with strong encryption (SC-13), key management (SC-12), and multi-factor authentication for privileged access (IA-2 [1])."
10,AC-20,Use of External Information Systems,Attest,
11,AC-22,Publicly Accessible Content,Document and Assess,
12,AT-1,Security Awareness and Training Policy and Procedures,Attest,
13,AT-2,Security Awareness Training,Attest,
14,AT-3,Role-Based Security Training,Attest,
15,AT-4,Security Training Records,Attest,
16,AU-1,Audit and Accountability Policy and Procedures,Attest,
17,AU-2,Audit Events,Attest,
18,AU-3,Content of Audit Records,Document and Assess,
19,AU-4,Audit Storage Capacity,NSO,NSO - Loss of availability of the audit data has been determined to have little or no impact to government business/mission needs.
20,AU-5,Response to Audit Processing Failures,Document and Assess,
21,AU-6,"Audit Review, Analysis, and Reporting",Document and Assess,
22,AU-8,Time Stamps,Attest,
23,AU-9,Protection of Audit Information,Attest,
24,AU-11,Audit Record Retention,NSO,NSO - Loss of availability of the audit data has been determined as little or no impact to government business/mission needs
